species,chromosome_count
Mesocentrotus_franciscanus,21
Stichopus_chloronotus,23
Branchiostoma_floridae,19
Asterias_amurensis,22
Asterias_rubens,22
Marthasterias_glacialis,22
Plazaster_borealis,22
Pycnopodia_helianthoides,22
Astropecten_irregularis,22
Luidia_sarsii,22
Antedon_bifida,11
Arbacia_lixula,22
Echinometra_lucunter,21
Heliocidaris_erythrogramma,21
Heliocidaris_tuberculata,21
Lytechinus_pictus,19
Lytechinus_variegatus,19
Diadema_setosum,22
Holothuria_leucospilota,23
Holothuria_scabra,23
Colochirus_anceps,23
Apostichopus_japonicus,23
Stichopus_monotuberculatus,23
Amphiura_filiformis,20
Ophiura_sarsii,19
Schizocardium_californicum,23
Anseropoda_placenta,22
Antedon_mediterranea,11
Asterina_phylactica,22
Astrospartus_mediterraneus,23
Echinaster_sepositus,22
Holothuria_sanctori,23
Leptometra_celtica,11
Ophiocomina_nigra,25
Ophioderma_longicauda,25
Patiria_pectinifera,22
Pecten_maximus,19
Pisaster_ochraceus,22
Sphaerechinus_granularis,20
